prompt_id,annotator1,annotator2
climate_change1.0-1,6,6.0
climate_change1.0-100,13,11.0
climate_change1.0-1000,1,1.0
climate_change1.0-10005,1,1.0
climate_change1.0-1001,13,13.0
climate_change1.0-10017,3,3.0
climate_change1.0-10019,6,6.0
climate_change1.0-10021,2,2.0
climate_change1.0-10025,6,6.0
climate_change1.0-10027,10,10.0
climate_change1.0-10031,14,14.0
climate_change1.0-1004,2,2.0
climate_change1.0-10042,9,9.0
climate_change1.0-10043,14,14.0
climate_change1.0-10052,2,2.0
climate_change1.0-10054,1,1.0
climate_change1.0-10055,1,1.0
climate_change1.0-10056,14,14.0
climate_change1.0-10060,5,5.0
climate_change1.0-10063,9,9.0
climate_change1.0-10068,13,13.0
climate_change1.0-10069,6,6.0
climate_change1.0-10072,2,2.0
climate_change1.0-10082,2,2.0
climate_change1.0-10083,9,2.0
climate_change1.0-10086,1,1.0
climate_change1.0-10094,6,6.0
climate_change1.0-10095,2,2.0
climate_change1.0-10098,13,13.0
climate_change1.0-1010,1,1.0
climate_change1.0-10103,13,13.0
climate_change1.0-10108,9,
climate_change1.0-10109,1,6.0
climate_change1.0-10114,13,13.0
climate_change1.0-10122,14,14.0
climate_change1.0-10126,14,14.0
climate_change1.0-10128,5,5.0
climate_change1.0-1013,3,3.0
climate_change1.0-10135,1,1.0
climate_change1.0-10138,2,2.0
climate_change1.0-1014,1,1.0
climate_change1.0-10140,1,1.0
climate_change1.0-10141,13,13.0
climate_change1.0-10145,1,13.0
climate_change1.0-10147,13,13.0
climate_change1.0-10153,6,6.0
climate_change1.0-10158,1,1.0
climate_change1.0-10161,14,14.0
climate_change1.0-10162,14,14.0
climate_change1.0-10166,14,14.0
climate_change1.0-10171,13,13.0
climate_change1.0-10174,1,1.0
climate_change1.0-10177,5,5.0
climate_change1.0-10179,2,2.0
climate_change1.0-10180,13,13.0
climate_change1.0-10181,5,5.0
climate_change1.0-10184,1,1.0
climate_change1.0-1019,6,6.0
climate_change1.0-10192,14,14.0
climate_change1.0-10195,13,13.0
climate_change1.0-10197,12,12.0
climate_change1.0-10198,14,14.0
climate_change1.0-1020,2,2.0
climate_change1.0-10200,13,13.0
climate_change1.0-10201,10,10.0
climate_change1.0-10203,13,13.0
climate_change1.0-10208,14,14.0
climate_change1.0-10209,3,3.0
climate_change1.0-10214,14,14.0
climate_change1.0-10220,1,3.0
climate_change1.0-10223,9,9.0
climate_change1.0-10229,10,10.0
climate_change1.0-10231,5,5.0
climate_change1.0-10241,2,2.0
climate_change1.0-10243,5,5.0
climate_change1.0-10250,14,14.0
climate_change1.0-10254,10,10.0
climate_change1.0-10255,2,2.0
climate_change1.0-10258,13,13.0
climate_change1.0-10259,14,14.0
climate_change1.0-10264,14,14.0
climate_change1.0-1027,11,11.0
climate_change1.0-10272,14,14.0
climate_change1.0-10273,14,14.0
climate_change1.0-10279,5,5.0
climate_change1.0-10280,14,14.0
climate_change1.0-10285,14,14.0
climate_change1.0-10286,14,14.0
climate_change1.0-10287,2,6.0
climate_change1.0-10292,10,10.0
climate_change1.0-10296,13,13.0
climate_change1.0-10297,14,14.0
climate_change1.0-103,10,10.0
climate_change1.0-1030,9,9.0
climate_change1.0-10302,5,5.0
climate_change1.0-10314,10,10.0
climate_change1.0-10316,14,
climate_change1.0-10319,2,2.0
climate_change1.0-1032,14,14.0
climate_change1.0-10325,14,14.0
climate_change1.0-10326,2,2.0
climate_change1.0-10327,14,14.0
climate_change1.0-10336,2,2.0
climate_change1.0-10338,13,13.0
climate_change1.0-10341,1,1.0
climate_change1.0-10342,2,2.0
climate_change1.0-10347,14,14.0
climate_change1.0-10348,2,2.0
climate_change1.0-10350,2,2.0
climate_change1.0-10353,13,13.0
climate_change1.0-10355,13,13.0
climate_change1.0-10356,13,13.0
climate_change1.0-10357,10,10.0
climate_change1.0-10358,6,11.0
climate_change1.0-1036,2,2.0
climate_change1.0-10361,13,13.0
climate_change1.0-10362,12,12.0
climate_change1.0-10363,13,13.0
climate_change1.0-10367,11,11.0
climate_change1.0-10368,6,6.0
climate_change1.0-1038,12,12.0
climate_change1.0-10381,1,1.0
climate_change1.0-10383,13,13.0
climate_change1.0-10386,1,1.0
climate_change1.0-10394,6,6.0
climate_change1.0-10398,9,9.0
climate_change1.0-1040,6,6.0
climate_change1.0-10403,6,6.0
climate_change1.0-10411,1,1.0
climate_change1.0-10413,11,11.0
climate_change1.0-10417,10,10.0
climate_change1.0-10419,14,14.0
climate_change1.0-1042,2,2.0
climate_change1.0-10424,2,2.0
climate_change1.0-10426,2,2.0
climate_change1.0-10427,2,2.0
climate_change1.0-10428,9,9.0
climate_change1.0-10431,14,14.0
climate_change1.0-10433,9,9.0
climate_change1.0-10438,2,2.0
climate_change1.0-1044,13,13.0
climate_change1.0-10440,10,10.0
climate_change1.0-10449,14,14.0
climate_change1.0-10452,10,10.0
climate_change1.0-10453,10,10.0
climate_change1.0-10454,6,6.0
climate_change1.0-10456,2,2.0
climate_change1.0-10461,2,2.0
climate_change1.0-10462,2,2.0
climate_change1.0-10465,10,10.0
climate_change1.0-10468,14,14.0
climate_change1.0-10479,6,6.0
climate_change1.0-1048,2,2.0
climate_change1.0-10480,11,11.0
climate_change1.0-10482,2,2.0
climate_change1.0-10483,11,11.0
climate_change1.0-10484,13,13.0
climate_change1.0-10494,13,13.0
climate_change1.0-10504,6,6.0
climate_change1.0-1051,3,3.0
climate_change1.0-10512,2,2.0
climate_change1.0-10522,13,13.0
climate_change1.0-10523,6,6.0
climate_change1.0-10524,13,13.0
climate_change1.0-1053,10,10.0
climate_change1.0-10531,1,1.0
climate_change1.0-10532,2,2.0
climate_change1.0-10533,13,13.0
climate_change1.0-10536,13,13.0
climate_change1.0-10543,6,6.0
climate_change1.0-10550,2,2.0
climate_change1.0-10555,2,2.0
climate_change1.0-10566,14,14.0
climate_change1.0-10569,14,14.0
climate_change1.0-10570,14,14.0
climate_change1.0-10572,14,
climate_change1.0-10573,14,14.0
climate_change1.0-10581,14,14.0
climate_change1.0-10582,2,2.0
climate_change1.0-10597,6,6.0
climate_change1.0-10598,2,2.0
climate_change1.0-10601,2,2.0
climate_change1.0-10603,11,11.0
climate_change1.0-10606,2,2.0
climate_change1.0-10608,13,
climate_change1.0-1061,13,13.0
climate_change1.0-10612,13,13.0
climate_change1.0-10615,1,1.0
climate_change1.0-10618,2,2.0
climate_change1.0-1062,14,14.0
climate_change1.0-10621,6,6.0
climate_change1.0-10624,3,3.0
climate_change1.0-10625,14,14.0
climate_change1.0-10626,8,8.0
climate_change1.0-1063,13,13.0
climate_change1.0-10633,13,13.0
climate_change1.0-10636,13,13.0
climate_change1.0-10638,10,10.0
climate_change1.0-10642,6,6.0
climate_change1.0-10644,12,12.0
climate_change1.0-10645,13,13.0
climate_change1.0-10651,9,9.0
climate_change1.0-10657,2,2.0
climate_change1.0-10659,9,9.0
climate_change1.0-10664,2,2.0
